"id";"name";"email";"age"
1;"ranim";"r@gmail.com";20
1;"ranim";"r@gmail.com";20
1;"ranim";"r@gmail.com";20
1;"ranim";"r@gmail.com";20
2;"racem";"bicha@yahoo.com";20
2;"racem";"bicha@yahoo.com";20
2;"racem";"bicha@yahoo.com";20
2;"racem";"bicha@yahoo.com";20
3;"hamza";"hamza@yahoo.com";35
3;"hamza";"hamza@yahoo.com";35
3;"hamza";"hamza@yahoo.com";35
3;"hamza";"hamza@yahoo.com";35
4;"ranim";"ranim@outlook.com";15
4;"ranim";"ranim@outlook.com";15
4;"ranim";"ranim@outlook.com";15
4;"ranim";"ranim@outlook.com";15
5;"said";"said@gmail.com";15
5;"said";"said@gmail.com";15
5;"said";"said@gmail.com";15
5;"said";"said@gmail.com";15
5;"said";"za@gmail.com";35
5;"said";"ranim@gmail.com";22
